year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,copd_apc
2012-2015,36053,Madison County,NEW YORK,1,-0.6600660066006601,55.55555555555556,0,0,27.546862265688674,4,2,54.642166344294004
2012-2015,36055,Monroe County,NEW YORK,1,7.612903225806452,-14.285714285714285,0,0,-10.58091286307054,3,2,10.06423982869379
2012-2015,36057,Montgomery County,NEW YORK,0,-3.290246768507638,10,0,0,62.674094707520894,4,2,9.476309226932669
2012-2015,36059,Nassau County,NEW YORK,1,-0.9980039920159681,-28.57142857142857,0,1,-23.987854251012145,2,0,-16.083916083916083
2012-2015,36061,New York County,NEW YORK,1,0.5291005291005291,-25,-1,1,-27.705627705627705,1,0,5.069708491761724
2012-2015,36063,Niagara County,NEW YORK,1,5.855161787365177,-20,0,0,-5.11000709723208,4,2,-6.326530612244898
2012-2015,36065,Oneida County,NEW YORK,1,2.9761904761904763,10,0,0,14.006968641114982,4,2,20.78699743370402
2012-2015,36067,Onondaga County,NEW YORK,1,7.903780068728522,-12.5,0,2,-16.34121274409044,3,2,-12.535410764872521
2012-2015,36069,Ontario County,NEW YORK,1,6.139154160982264,12.5,0,0,4.695652173913044,4,1,14.129520605550882
2012-2015,36071,Orange County,NEW YORK,1,2.7687296416938114,0,1,0,14.209115281501342,5,1,11.291569992266048
2012-2015,36073,Orleans County,NEW YORK,1,20.634920634920636,-31.25,0,2,-40.830449826989614,5,2,17.95241528478731
2012-2015,36075,Oswego County,NEW YORK,1,5.410447761194029,-30.769230769230766,0,0,-15.660252156602521,5,1,-18.401380103507762
2012-2015,36077,Otsego County,NEW YORK,0,5.617977528089887,0,-1,0,-3.1417624521072796,3,1,0.3590664272890485
2012-2015,36079,Putnam County,NEW YORK,1,-3.1135531135531136,12.5,1,1,21.718931475029038,3,2,-0.4161712247324614
2012-2015,36081,Queens County,NEW YORK,1,1.1857707509881423,-16.666666666666668,-1,1,-20.602526724975707,2,0,-6.985698569856986
2012-2015,36083,Rensselaer County,NEW YORK,1,-5.215123859191656,0,1,0,13.39622641509434,4,0,-0.1447178002894356
2012-2015,36085,Richmond County,NEW YORK,1,-1.9469026548672566,-22.22222222222222,-1,1,-33.48684210526316,2,1,-15.05321844906234
2012-2015,36087,Rockland County,NEW YORK,1,2.5641025641025643,-14.285714285714285,0,1,-20.25440313111546,3,0,-11.73733195449845
2012-2015,36089,St. Lawrence County,NEW YORK,0,0.6321112515802781,-26.666666666666668,1,3,-21.646516983304547,6,2,-2.9181494661921707
2012-2015,36091,Saratoga County,NEW YORK,1,-4.5787545787545785,0,0,1,9.09090909090909,3,1,9.24170616113744
2012-2015,36093,Schenectady County,NEW YORK,1,5.047318611987381,33.333333333333336,0,0,26.113861386138613,3,1,-10.378006872852232
2012-2015,36095,Schoharie County,NEW YORK,1,-0.8038585209003216,-16.666666666666668,1,0,-18.50582590815627,4,2,-8.231368186874304
2012-2015,36097,Schuyler County,NEW YORK,0,5.58659217877095,-25,0,0,-41.17291414752116,4,2,-11.466296038915914
2012-2015,36099,Seneca County,NEW YORK,0,13.05057096247961,0,1,0,23.996265172735757,5,2,7.309941520467836
2012-2015,36101,Steuben County,NEW YORK,0,0.1440922190201729,-9.090909090909092,0,0,16.234390009606148,3,2,-5.778120184899846
2012-2015,36103,Suffolk County,NEW YORK,1,-1.1824324324324325,-22.22222222222222,0,1,-23.76395534290271,3,1,-3.9215686274509802
2012-2015,36105,Sullivan County,NEW YORK,0,4.503105590062112,-12.5,1,0,7.761194029850746,6,1,-5.350118017309205
2012-2015,36107,Tioga County,NEW YORK,1,6.049822064056939,-23.076923076923077,1,0,-3.9405204460966545,4,1,-22.18586387434555
2012-2015,36109,Tompkins County,NEW YORK,1,-22.161422708618332,-33.333333333333336,0,1,-34.620886981402,3,0,-8.982035928143713
2012-2015,36111,Ulster County,NEW YORK,1,4.823151125401929,-27.272727272727273,1,1,-25.931232091690543,4,1,-4.795852235904083
2012-2015,36113,Warren County,NEW YORK,1,-2.3076923076923075,-42.857142857142854,0,0,-26.636422553467273,3,1,-32.84634760705289
2012-2015,36115,Washington County,NEW YORK,1,1.1844331641285957,-35.71428571428571,0,0,-40.401653868871826,4,2,-19.20245398773006
2012-2015,36117,Wayne County,NEW YORK,1,14.192708333333334,-33.333333333333336,0,0,-3.4313725490196076,5,4,-26.52439024390244
2012-2015,36119,Westchester County,NEW YORK,1,2.4054982817869415,-25,0,1,-22.60536398467433,3,0,-1.1135857461024499
2012-2015,36121,Wyoming County,NEW YORK,0,11.666666666666666,49.99999999999999,2,0,30.675124603534208,4,2,-0.9127789046653144
2012-2015,36123,Yates County,NEW YORK,0,-7.851851851851852,-37.5,-1,0,-12.132822477650064,4,1,-15.68075117370892
2012-2015,37001,Alamance County,NORTH CAROLINA,1,8.359133126934985,50,3,1,63.69426751592356,4,1,0.723589001447178
2012-2015,37003,Alexander County,NORTH CAROLINA,1,0.6024096385542169,-25,2,0,-13.571428571428571,6,2,-2.9624753127057275
2012-2015,37005,Alleghany County,NORTH CAROLINA,0,3.1372549019607843,0,0,4,-8.892921960072595,4,2,58.00144822592324
2012-2015,37007,Anson County,NORTH CAROLINA,1,7.594936708860759,25,1,0,31.345980126467932,3,0,32.196969696969695
2012-2015,37009,Ashe County,NORTH CAROLINA,0,11.42433234421365,44.44444444444444,1,1,52.01970443349754,5,2,23.511356660527934
2012-2015,37011,Avery County,NORTH CAROLINA,0,16.228748068006183,0,2,1,0.6662965019433648,6,1,1.0672853828306264
2012-2015,37013,Beaufort County,NORTH CAROLINA,0,-3.1292517006802725,-12.5,2,0,-14,4,3,-2.036363636363636
2012-2015,37015,Bertie County,NORTH CAROLINA,0,14.17989417989418,-14.285714285714285,1,0,-17.7683765203596,3,0,-29.14572864321608
2012-2015,37017,Bladen County,NORTH CAROLINA,0,-1.7204301075268815,25,2,0,19.3868349864743,4,1,20.032706459525755
2012-2015,37019,Brunswick County,NORTH CAROLINA,1,1.1152416356877324,-25,0,1,-10.36144578313253,4,1,-8.474576271186441
2012-2015,37021,Buncombe County,NORTH CAROLINA,1,1.3539651837524178,-37.5,1,1,-39.8838334946757,3,2,-19.642857142857142
2012-2015,37023,Burke County,NORTH CAROLINA,1,2.72596843615495,37.5,1,5,48.99396378269618,5,1,10.355392156862745
2012-2015,37025,Cabarrus County,NORTH CAROLINA,1,-1.3831258644536653,10,1,0,3.156384505021521,3,0,14.96774193548387
2012-2015,37027,Caldwell County,NORTH CAROLINA,1,0.5641748942172073,-28.57142857142857,2,1,-3.9433771486349847,5,2,-8.77839165131983
2012-2015,37029,Camden County,NORTH CAROLINA,0,9.131075110456553,-25,0,0,-8.368200836820083,5,2,-37.66921718658035
2012-2015,37031,Carteret County,NORTH CAROLINA,0,8.471760797342194,-14.285714285714285,0,1,16,3,1,1.2658227848101264
2012-2015,37033,Caswell County,NORTH CAROLINA,0,12.443778110944528,-18.181818181818183,0,0,-0.4108463434675431,4,-3,-11.8508655126498
2012-2015,37035,Catawba County,NORTH CAROLINA,1,5.946791862284821,-14.285714285714285,1,1,15.708274894810659,4,1,11.680327868852459
